parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Aberdeen, WA",WA,place,"Brady, WA",549000.0,249.20562868815253,0.28139035657773004,0.12052680450987907
"New Brunswick, NJ",NJ,place,"Avon-By-the-Sea, NJ",3310000.0,889.067955949503,0.1419789189537075,0.06536522918638532
"Ocean City, NJ",NJ,place,"Villas, NJ",321500.0,404.7054367201426,0.11321443509038032,0.10945772222193528
"Reno, NV",NV,place,"Incline Village, NV",1555000.0,752.9194837123539,0.04629321779468043,0.08371737151765823
"Sonora, CA",CA,place,"Soulsbyville, CA",348000.0,217.7012993236076,0.15137297588700838,0.08266870572558305
"Naples, FL",FL,place,"Naples, FL",670000.0,404.2247103499127,0.06617871900820993,0.08722705636278882
"Atlanta, GA",GA,place,"McDonough, GA",415000.0,154.3079836829837,0.10906004918404899,0.09796431005567263
"Rockford, IL",IL,place,"Candlewick Lake, IL",205900.0,100.90090090090092,0.09928665735302422,0.08317502654579667
"Rochester, NY",NY,place,"Ogden, NY",270100.0,156.01546199121796,0.04435621010821511,0.0691895141183203
"Kingston, NY",NY,place,"Kingston, NY",360100.0,220.0,0.09003449641107286,0.10204725702802064
"Heber, UT",UT,place,"Heber, UT",1175000.0,404.76870359794407,0.1756233261793494,0.1583150465810037
"Riverside, CA",CA,place,"Blythe, CA",210000.0,128.96825396825398,0.13346158167069744,0.13225099504860327
"Providence, RI",RI,place,"New Shoreham, RI",1280000.0,2077.9220779220777,-0.01638916917594957,0.08025667299503159
"St. Louis, MO",MO,place,"Woodson Terrace, MO",94750.0,90.41326376285542,0.0940961344363338,0.09046835927626251
"Nashville, TN",TN,place,"Belle Meade, TN",5375000.0,778.4859900680434,0.1253547604967613,0.0996364582251732
"Indianapolis, IN",IN,place,"New Palestine, IN",318750.0,167.91858656597245,0.0451793569378367,0.05207323023629762
"Harrisonburg, VA",VA,place,"Massanetta Springs, VA",500000.0,160.3592046183451,0.027850783050672456,0.02192098308287993
"Kansas City, MO",KS,place,"Basehor, KS",450000.0,191.76897582314837,0.08449888672050276,0.059219674110809084
"Boise City, ID",ID,place,"Emmett, ID",361500.0,261.23995215976413,0.10854125209802068,0.10937981730741564
