parent_metro_region,state_code,region_type,region,median_sale_price,median_ppsf,median_sale_price_cagr,median_ppsf_cagr
"Nashville, TN",TN,place,"Columbia, TN",360000.0,229.0304500916536,0.13085790867811187,0.13672881046155094
"Boston, MA",MA,place,"Foxborough, MA",1039900.0,393.3055975794251,0.1616006920530073,0.15911664991444296
"Medford, OR",OR,place,"Gold Hill, OR",269250.0,231.7944901103986,0.011566520089902443,0.08094560800496531
"Wenatchee, WA",WA,place,"Chelan, WA",652000.0,372.29010446230296,0.04633874241291669,0.054709101124422954
"Louisville, KY",IN,place,"Georgetown, IN",290000.0,171.51024297284422,0.05959793294205329,0.08106839054361581
"San Diego, CA",CA,place,"Santee, CA",827500.0,489.9344711978056,0.08093216591490937,0.06834579821103515
"Honolulu, HI",HI,place,"EWA Beach, HI",800000.0,472.33128183361623,0.06978434293224556,0.03530155627579212
"Utica, NY",NY,place,"Utica, NY",140000.0,98.35937518048519,0.05054870584268456,0.05199478006923708
"Grand Rapids, MI",MI,place,"Zeeland, MI",420000.0,224.59292532285232,0.12794487300549928,0.10865347648370016
"Somerset, PA",PA,place,"Salisbury, PA",130000.0,69.81740064446831,-0.02054985026666456,-0.03773025964184107
"Rochester, NY",NY,place,"Groveland, NY",799500.0,391.9117647058824,0.15094942336809702,0.15429058251212147
"Des Moines, IA",IA,place,"Lake Panorama, IA",730000.0,558.1039755351682,0.12365799423105717,0.20177676344154083
"Austin, TX",TX,place,"Lockhart, TX",307990.0,175.6212452211906,0.09976264822441294,0.08798931546176592
"Bellingham, WA",WA,place,"Blaine-Birch Bay, WA",600000.0,311.5922894111434,0.11617899554467326,0.10964935712342072
"Atlanta, GA",GA,place,"Woodstock, GA",437500.0,204.14156626506025,0.08784412411254561,0.08113251728230231
"Rochelle, IL",IL,place,"Rochelle, IL",176000.0,105.60194366701884,0.0774140117361164,0.07801866393931611
"Memphis, TN",TN,place,"Piperton, TN",555000.0,231.25,0.015154071324546159,0.06835807200479804
"Louisville, KY",KY,place,"Hurstbourne, KY",517000.0,123.80268199233716,0.06633131638917034,0.023080897871987638
"Ocala, FL",FL,place,"Silver Springs Shores East, FL",282000.0,184.0490797546012,0.14010159067734151,0.11550899495507339
"Modesto, CA",CA,place,"Newman, CA",457000.0,241.02552433921988,0.10557991135492761,0.08357106005203607
"Nashville, TN",TN,place,"Murfreesboro, TN",453061.0,212.6362752869382,0.10383499813098074,0.08909677912818359
"Ogden, UT",UT,place,"North Salt Lake, UT",650000.0,224.8356969906607,0.1082197452179412,0.07027308009323563
"Camden, NJ",NJ,place,"Ellisburg, NJ",417450.0,227.87639530890536,0.059163245241614426,0.06776765335562907
"Anaheim, CA",CA,place,"Los Alamitos, CA",1376500.0,510.71428571428567,0.07311289943722388,0.026458880875241064
"St. Louis, MO",MO,place,"Festus, MO",279898.0,174.48856799037304,0.0848203188676584,0.07607364919879167
"Lake County, IL",IL,place,"Lake Bluff, IL",715000.0,348.422311317634,0.009537761120118615,0.048394401715093904
"Nassau County, NY",NY,place,"North Babylon, NY",631000.0,344.82758620689657,0.0754072301535198,0.06751775856937203
"Greenville, SC",SC,place,"Parker, SC",242000.0,201.8348623853211,0.24069700387621928,0.21447313770020737
"Rutland, VT",VT,place,"Rutland, VT",255000.0,133.00760043431052,0.05662841245098327,0.05174439669313924
"Beaumont, TX",TX,place,"Lumberton, TX",299000.0,155.1634665282823,0.036014598191456804,0.0468683682297899
"Frederick, MD",MD,place,"Clarksburg, MD",875000.0,209.87385819921704,0.04778948914993042,0.020444646761006213
"Grand Junction, CO",CO,place,"Orchard Mesa, CO",336000.0,234.48773448773449,0.0922761420428535,0.11031901447492332
"Atlanta, GA",GA,place,"Duluth, GA",509000.0,200.2778930220757,0.11273768697614117,0.08601343802506833
"Lansing, MI",MI,place,"Bancroft, MI",189900.0,72.15045592705167,0.15232958809653052,0.08749514517711487
"Washington, DC",VA,place,"Yorkshire, VA",600000.0,268.81720430107526,0.05537868966683179,0.07605837175436414
"Columbus, IN",IN,place,"Taylorsville, IN",195000.0,182.58426966292132,0.14352705336107308,0.18801958411402953
"Stevens Point, WI",WI,place,"Plover, WI",321500.0,128.44079939668177,0.06516892192237722,0.0470299399170202
"Burlington, NC",NC,place,"Swepsonville, NC",377694.5,151.0115491835922,0.07543746422016229,0.06748476013193327
"Pittsburgh, PA",PA,place,"Chalfant, PA",164000.0,109.33333333333331,0.2790030532633814,0.25749372306674334
"Boston, MA",MA,place,"Sherborn, MA",1110000.0,497.1590909090909,0.037384283036950405,0.07510602388976984
"Cambridge, MD",MD,place,"Cambridge, MD",179916.5,146.2365703042022,0.013395668282557338,0.06504809972871306
"Houston, TX",TX,place,"Mont Belvieu, TX",423503.5,160.9146004167242,0.04150732718818029,0.06637140045105205
"Tyler, TX",TX,place,"Tyler, TX",295000.0,156.85146443514645,0.06315688304612888,0.06802805914941179
"Charlotte, NC",NC,place,"Belmont, NC",579243.0,237.45737944471503,0.10053004234431984,0.08938861915142815
"Huntsville, AL",AL,place,"Hazel Green, AL",264450.0,161.25302709641605,0.09573158434897677,0.09198315005287894
"Austin, TX",TX,place,"West Lake Hills, TX",1435000.0,723.3205083780415,-0.02240732317832317,0.043157505364426196
"Baltimore, MD",MD,place,"Joppatowne, MD",435000.0,193.24716163569184,0.06673228903273642,0.03863628794308949
"Bakersfield, CA",CA,place,"Taft, CA",232000.0,175.2021563342318,0.06210737968274582,0.08588013894713842
"Santa Rosa, CA",CA,place,"Cloverdale, CA",665000.0,380.0,0.05347068499350338,0.05543097154912102
"Montgomery County, PA",PA,place,"Berwyn, PA",830000.0,285.5681377850313,0.04918908641645814,0.0457520083639551
"Pittsburgh, PA",PA,place,"Port Vue, PA",135000.0,105.29891304347828,0.11415811815095456,0.10163161176617863
"Raleigh, NC",NC,place,"Wilson's Mills, NC",362720.0,164.09684953289604,0.11099928567991468,0.12082106338272469
"Johnson City, TN",TN,place,"Fall Branch, TN",208900.0,181.6250663834307,0.05043202305095362,0.06849655101489183
"Nassau County, NY",NY,place,"Copiague, NY",560000.0,394.03571428571433,0.09620316071931945,0.22608048111888213
"Utica, NY",NY,place,"Oriskany Falls, NY",89900.0,74.05271828665569,0.1621788552806951,0.127912349782078
"Ashtabula, OH",OH,place,"Andover, OH",118950.0,112.92649236728184,0.12578677989596843,0.0966089429952457
"Coos Bay, OR",OR,place,"Bandon, OR",589250.0,328.6856461951322,0.058096988726956456,0.07227600693654934
"Nassau County, NY",NY,place,"North Wantagh, NY",651000.0,422.6156756008673,0.05059799915836494,0.046768447404592184
"Seattle, WA",WA,place,"Renton, WA",684950.0,372.4892241379311,0.07478467080924345,0.08330051299992669
"Eugene, OR",OR,place,"Veneta, OR",420450.0,245.17570805982805,0.08270127719276643,0.08362720210894659
"Minneapolis, MN",MN,place,"Dayton, MN",577662.5,201.82123939064155,0.06771487224833428,0.09313168451573217
"Bloomington, IN",IN,place,"Gosport, IN",243000.0,191.6403785488959,0.10448675095734128,0.1334264134142007
"Los Angeles, CA",CA,place,"Hidden Hills, CA",3352000.0,847.963571970655,-0.007456349546269725,0.05869854510989003
"Chicago, IL",IL,place,"Thornton, IL",171000.0,169.81132075471697,0.15005057569110547,0.14106125947655568
"Watertown, NY",NY,place,"West Carthage, NY",160000.0,118.79534017384483,-0.011434265429103418,0.02884479810860774
"Lansing, MI",MI,place,"Perry, MI",259900.0,204.53216374269005,0.05073065655139719,0.10085125788140359
"New Brunswick, NJ",NJ,place,"Somerville, NJ",430000.0,313.35178601049984,0.05572995598536834,0.054167353716788824
"Boston, MA",MA,place,"North Scituate, MA",834140.0,418.9607733061261,0.09389592139401737,0.06699056688789318
"Washington, DC",MD,place,"Queen Anne, MD",850000.0,174.68146321413892,0.057712699354267594,0.014803864170141123
"Ithaca, NY",NY,place,"Northeast Ithaca, NY",270000.0,277.77777777777777,0.03202389723428167,0.0705277480320401
"Batavia, NY",NY,place,"Pembroke, NY",225000.0,151.61725067385444,0.023135016947292586,0.08961250441577717
"Provo, UT",UT,place,"Mapleton, UT",809796.0,181.5254777070064,0.09853382749806672,0.06966874078115537
"Detroit, MI",MI,place,"Detroit, MI",80000.0,67.27629000653168,0.2311444133449163,0.21745564082338764
"Birmingham, AL",AL,place,"Smoke Rise, AL",512500.0,287.2757847533632,0.17068162154336597,0.1449025430597526
"Miami, FL",FL,place,"Westwood Lakes, FL",566250.0,368.286432261024,0.08917864373474016,0.08581533581377077
"Fayetteville, AR",AR,place,"Fayetteville, AR",350000.0,200.0,0.06290383507350006,0.07153939114598451
"Cleveland, OH",OH,place,"Orange, OH",789500.0,224.13134624742565,0.038835678189517386,0.053953242406540314
"Dallas, TX",TX,place,"Lowry Crossing, TX",432500.0,236.5187279160465,0.08023272981040153,0.1023216970104126
"North Port, FL",FL,place,"The Meadows, FL",455200.0,262.1120348275739,0.10367002373918544,0.0686363047191676
"Aberdeen, WA",WA,place,"Aberdeen, WA",204975.0,192.18350943638728,0.09797006949718678,0.14826785291066424
"Nashville, TN",TN,place,"Burns, TN",348170.0,220.1918684330745,0.08092183137409714,0.10976096226798338
"Laurinburg, NC",NC,place,"Laurinburg, NC",140000.0,101.73031026252984,0.04401962962788453,0.10326657804116657
"Kansas City, MO",MO,place,"Oak Grove, MO",302640.0,190.3391347054101,0.1293105583025136,0.10420869224285378
"Dallas, TX",TX,place,"Seagoville, TX",260000.0,151.37180700094606,0.09259096460822036,0.08357973534444785
"Fergus Falls, MN",MN,place,"Parkers Prairie, MN",168750.0,82.52562788065325,0.13985926591289255,0.11528093703905795
"Coeur d'Alene, ID",ID,place,"Rathdrum, ID",449500.0,283.825527264113,0.11379131359509764,0.09925499756427403
"Austin, TX",TX,place,"Georgetown, TX",455000.0,212.7276074184295,0.06499575844805938,0.06327273536894773
"Johnson City, TN",TN,place,"Elizabethton, TN",207000.0,150.6024096385542,0.07218855734209906,0.09515066932165728
"Youngstown, OH",PA,place,"Hermitage, PA",155000.0,,0.06645874778633631,
"Pittsburgh, PA",PA,place,"Butler, PA",92500.0,82.47767857142857,0.002188270157249983,0.0023548694629331735
"Johnson City, TN",TN,place,"Valley Forge, TN",214500.0,130.15776699029126,0.10874938971967296,0.07912362568996478
"Somerset, PA",PA,place,"Confluence, PA",179000.0,113.8676844783715,0.08661536765323441,0.06182280170084664
"Vallejo, CA",CA,place,"Green Valley, CA",1200000.0,464.75600309837336,0.032089403847093134,0.026048092723095495
"Racine, WI",WI,place,"Mount Pleasant, WI",257500.0,165.9361471861472,0.04630811215645503,0.06654863609514816
"Seattle, WA",WA,place,"Fairwood, WA",765000.0,292.4164870689655,0.10000582441151185,0.06986554969637448
"Spartanburg, SC",SC,place,"Valley Falls, SC",229990.0,122.1323155216285,0.05244372304745948,0.03760702476749089
"Richmond, VA",VA,place,"Bellwood, VA",302500.0,209.04761904761904,0.11649281277667956,0.11963224514342308
"Wilson, NC",NC,place,"Elm City, NC",129950.0,95.1578262716364,0.19992941272709297,0.19969354462775946
"Cincinnati, OH",KY,place,"Covington, KY",192000.0,157.68902534401616,0.10070732127627102,0.08630495448228559
"Houston, TX",TX,place,"Cloverleaf, TX",257180.0,153.50527630026167,0.1239367514724341,0.10119358036383286
"Panama City, FL",FL,place,"Pretty Bayou, FL",495000.0,154.2846873104986,0.08203738981834285,0.04216189462093167
"Harrisburg, PA",PA,place,"Lykens, PA",113400.0,88.81687111338273,0.22419944860123864,0.36386302119611846
"Chicago, IL",IL,place,"Merrionette Park, IL",155000.0,99.23175416133162,0.029407601472573264,-0.005270412953834458
"Akron, OH",OH,place,"Silver Lake, OH",404500.0,196.073679108095,0.0963314690677275,0.12643882694682795
"Montgomery County, PA",PA,place,"Trooper, PA",760000.0,280.95238095238096,0.13458624261017382,0.07894114641322059
"Los Angeles, CA",CA,place,"Castaic, CA",861250.0,330.28520098170407,0.0697110239521197,0.0482345483874993
"Boston, MA",MA,place,"Burlington, MA",665000.0,408.0578512396695,0.04005793183705042,0.06665410091524682
"Boston, MA",MA,place,"Burlington, MA",700000.0,392.9260450160772,0.04540643700072611,0.06263108292306208
"New Brunswick, NJ",NJ,place,"Fords, NJ",438500.0,315.4761904761905,0.07513021270810905,0.09000863149069827
"Memphis, TN",MS,place,"Bridgetown, MS",341500.0,163.4293097083795,0.08289662136541942,0.06482929934418191
"Miami, FL",FL,place,"Golden Beach, FL",5500000.0,1848.1182795698924,0.1858677786278009,0.17798537704027662
"Chillicothe, OH",OH,place,"Kingston, OH",148500.0,126.2692814510503,0.08123912921333054,0.07825500343475
"Nassau County, NY",NY,place,"Lloyd Harbor, NY",2375000.0,376.3213675213675,0.07065176378938087,-0.01199319793896203
"Poughkeepsie, NY",NY,place,"Port Jervis, NY",260000.0,154.76190476190476,0.03861677938767194,0.05047915757291732
"Oakland, CA",CA,place,"Pacheco, CA",723000.0,462.57197696737046,0.05581760844217598,0.07736906153030776
"Honolulu, HI",HI,place,"Kaneohe, HI",940000.0,857.6642335766422,0.02977177376763418,0.06012276276092621
"Jackson, MI",MI,place,"Concord, MI",262250.0,209.39820526451285,0.21150574170441794,0.2238481778622805
"Daphne, AL",AL,place,"Lillian, AL",395000.0,163.62252663622527,0.09121748224759574,0.07087533215376784
"Wichita, KS",KS,place,"Wichita, KS",199900.0,115.0146382266834,0.0523571468166073,0.06265307475733195
"Orlando, FL",FL,place,"Groveland, FL",360000.0,210.1467255508445,0.08503561102149426,0.09907052727297971
"Anaheim, CA",CA,place,"Fountain Valley, CA",1360000.0,642.895732036737,0.07662027734832932,0.08594480502659807
"Aberdeen, SD",SD,place,"Aberdeen, SD",201000.0,108.97780164697458,0.030734850536175973,0.039054249144997666
"Richmond, VA",VA,place,"Laurel, VA",387497.5,239.0513394268088,0.08429631183879005,0.07646725373095964
"Bellingham, WA",WA,place,"Sudden Valley, WA",448500.0,296.7877094972067,0.07826974953579269,0.11583527486644418
"Dallas, TX",TX,place,"Heartland, TX",291494.5,165.99622569433546,0.08372384238154162,0.07980269523669459
"Easton, MD",MD,place,"Trappe, MD",370000.0,240.25974025974023,0.06891903840090796,0.04533095457164471
"Riverside, CA",CA,place,"Pedley, CA",651818.0,338.43094496365524,0.08141156192475663,0.07333854797092476
"Pittsburgh, PA",PA,place,"Houston, PA",175000.0,160.40329972502292,-0.06696700846319259,0.003073546568776342
"Bakersfield, CA",CA,place,"Old Stine, CA",340000.0,219.63824289405684,0.12125682919786862,0.08582314954676806
"Kerrville, TX",TX,place,"Kerrville, TX",424725.0,226.17563591946197,0.07827491796649477,0.08070770223293833
"Pottsville, PA",PA,place,"Schuylkill Haven, PA",166102.5,112.36811926605505,0.06601281327720998,0.07529003947534152
"Oklahoma City, OK",OK,place,"Guthrie, OK",190000.0,113.5169663538458,0.024262424727827137,0.03380150766971446
"Summerville, GA",GA,place,"Trion, GA",155000.0,107.82901056676272,0.08445428126900634,0.08228774071628875
"Toledo, OH",OH,place,"Sylvania, OH",247500.0,144.3129378873619,0.0586312667401252,0.08809757099880455
"Panama City, FL",FL,place,"Cedar Grove, FL",242500.0,230.29439696106363,0.16315019034211753,0.16973910070998843
"Reno, NV",NV,place,"Sun Valley, NV",414480.0,244.38679245283015,0.10335987967379534,0.0859299243110303
"Durham, NC",NC,place,"Governors Village, NC",860000.0,250.43680838672103,0.08036571720439278,0.06646914841102225
"Oxnard, CA",CA,place,"Ventura, CA",950000.0,575.0972762645914,0.06314288640476717,0.05859346677216659
"Roanoke Rapids, NC",NC,place,"South Rosemary, NC",135000.0,108.17307692307692,0.2661418340776234,0.3127883087150094
"Honolulu, HI",HI,place,"Kapolei, HI",907000.0,647.201140726271,0.0635305872198011,0.07652017365640917
"Amsterdam, NY",NY,place,"Palatine, NY",28500.0,19.90223463687151,-0.11796770665109835,-0.12932064209306282
"Boston, MA",MA,place,"Bridgewater, MA",491200.0,373.4226150055296,0.07651243197454627,0.0742487615166274
"Los Angeles, CA",CA,place,"Lake Hughes, CA",441350.0,367.79166666666663,0.155513381345449,0.12505345849304494
"Concord, NH",NH,place,"Hooksett, NH",496166.5,262.73745630217473,0.09792887553550322,0.07711282699320754
"Rochester, NY",NY,place,"West Bloomfield, NY",531000.0,182.5761015760948,0.1173922303972239,0.07675515327613014
"Asheville, NC",NC,place,"Fruitland, NC",299000.0,150.7816439737771,0.03209926666266982,-0.009061752817293156
"San Luis Obispo, CA",CA,place,"Los Osos, CA",810000.0,679.5302013422819,0.0607528233564012,0.09688213664324707
"Charlotte, NC",NC,place,"Mint Hill, NC",521580.0,211.4191304347826,0.09015895076210079,0.07737885267961198
"Atlanta, GA",GA,place,"Hiram, GA",344000.0,139.48793766875136,0.10565285006081027,0.07464316465222476
"Key West, FL",FL,place,"Big Coppitt Key, FL",1650000.0,1140.0651465798046,0.1929217944915882,0.17402628978750045
"Fort Lauderdale, FL",FL,place,"Fort Lauderdale, FL",515000.0,413.95105626437993,0.06283272926619521,0.09793338489274817
"Jasper, AL",AL,place,"Cordova, AL",99900.0,38.23191733639495,0.043915180654262365,-0.022580381443027653
"Allentown, PA",NJ,place,"Hackettstown, NJ",430000.0,247.89654385163848,0.06341932882960122,0.05336198136485537
"Kansas City, MO",MO,place,"Plattsburg, MO",197000.0,175.0814332247557,0.0739743058804816,0.1203876194505129
"St. Louis, MO",IL,place,"Greenville, IL",58250.0,41.23034591194968,-0.045964118501794826,-0.02508473352457352
"Ann Arbor, MI",MI,place,"Ann Arbor, MI",450000.0,292.77131147540985,0.06355664169358155,0.05964801675674192
"Montgomery County, PA",PA,place,"Maple Glen, PA",540000.0,274.41485068603714,0.03923470540787144,0.06618429077139365
"Worcester, MA",MA,place,"Holden, MA",460000.0,298.74213836477986,0.06722172887732136,0.06736736748635774
"Poughkeepsie, NY",NY,place,"Myers Corner, NY",450000.0,213.0681818181818,0.06826489175630868,0.031022939840151142
"Chicago, IL",IL,place,"Bellwood, IL",247000.0,190.0,0.12289452600638606,0.08940526795314296
"St. Louis, MO",IL,place,"Cahokia Heights, IL",43725.0,56.81818181818182,0.11291976637351886,0.1669001853560712
"Denver, CO",CO,place,"Westminster, CO",545000.0,254.6106557377049,0.08845621059436493,0.07955234294201285
"Reno, NV",NV,place,"Reno, NV",590000.0,310.79378412431754,0.10317896884117195,0.09943555717225228
"New Brunswick, NJ",NJ,place,"Cliffwood Beach, NJ",412000.0,265.4639175257732,0.13610883605768476,0.10498169014943226
"Morristown, TN",TN,place,"Strawberry Plains, TN",207000.0,110.24915254237288,0.056124496896301945,0.0665828170126408
"St. Louis, MO",MO,place,"Oakville, MO",329000.0,172.83464566929135,0.04431300363771706,0.06111719110962688
"Atlanta, GA",GA,place,"Morrow, GA",216000.0,161.63793103448276,0.1258770889999561,0.16357225539096243
"Las Vegas, NV",NV,place,"Whitney, NV",349900.0,237.22149410222804,0.09022262920154867,0.10377228352598489
"Harrisburg, PA",PA,place,"Progress, PA",235000.0,129.75778546712803,0.05861477731624287,0.039956039210240046
"St. Louis, MO",MO,place,"Grantwood Village, MO",602521.0,196.96665576985944,0.04286405882544608,0.042592434449747696
"Boston, MA",MA,place,"Belmont, MA",1135000.0,645.3860005089964,0.03650706681306315,0.05641832767738797
"Boston, MA",MA,place,"Belmont, MA",1072500.0,600.7174536238808,0.030652856711884002,0.04886839225187445
"Jamestown, NY",NY,place,"Ellicott, NY",450000.0,427.6315789473685,0.10095205563678533,0.18396802874377793
"Seattle, WA",WA,place,"Carnation, WA",915000.0,375.553199010251,0.12520811670687348,0.08714164184117612
"Canton, OH",OH,place,"Carrollton, OH",225312.5,134.63186998937505,0.03417953883412328,0.0961066285143577
"Atlanta, GA",GA,place,"Mableton, GA",358000.0,192.30769230769232,0.09088551906282971,0.10104771950948388
"Nassau County, NY",NY,place,"Cold Spring Harbor, NY",1930000.0,,0.05132537007908411,
"York, PA",PA,place,"Shiloh, PA",248000.0,133.92857142857144,0.0667209703778402,0.06120287573064043
"Tacoma, WA",WA,place,"Midland, WA",572500.0,251.7553075864068,0.12827376808177293,0.068849627167342
"Eugene, OR",OR,place,"Cottage Grove, OR",367200.0,260.10898442217126,0.07315503056941774,0.09362496455490987
"Kansas City, MO",KS,place,"Westwood Hills, KS",352500.0,296.9501696280663,-0.013176862361077846,0.057446673297690154
"Grand Junction, CO",CO,place,"Grand Junction, CO",419900.0,261.3695765812859,0.07386318248898394,0.08089750706262921
"Cleveland, OH",OH,place,"Mentor-on-the-Lake, OH",259450.0,157.81364412985113,0.11818741097186058,0.0702998292464192
"Tahlequah, OK",OK,place,"Park Hill, OK",246000.0,116.44318983768524,0.08990884431931567,0.0629129947654481
"Tacoma, WA",WA,place,"South Hill, WA",554900.0,262.0593692022263,0.08322523623292377,0.08227806428170203
"Crossville, TN",TN,place,"Lake Tansi, TN",355000.0,208.82336923095704,0.05519200356503262,0.0957967968349418
"Trenton, NJ",NJ,place,"Trenton, NJ",300000.0,194.63522694063985,0.18488405858327894,0.19383177392536743
"Atlanta, GA",GA,place,"Tallapoosa, GA",155000.0,138.97876223660197,0.23355298833610205,0.27614099315262575
"New Brunswick, NJ",NJ,place,"West Belmar, NJ",476000.0,418.6455584872471,0.07544427420169941,0.05998172058530282
"Washington Court House, OH",OH,place,"Jeffersonville, OH",219900.0,137.256128866641,0.13405605361761608,0.1205328181263905
"Manchester, NH",NH,place,"Wilton, NH",425000.0,270.2136573104316,0.18686642471951642,0.1394278997109233
"Clewiston, FL",FL,place,"Fort Denaud, FL",319900.0,251.8897637795276,0.06604870236358718,0.12317054480574274
"Dothan, AL",AL,place,"Dothan, AL",183750.0,114.41773983049517,-0.018710346330110372,0.03400050439787616
"Topeka, KS",KS,place,"Oskaloosa, KS",189875.0,86.95219771855133,0.014141101358442931,0.012330662868767828
"Boston, MA",MA,place,"Sharon, MA",855000.0,354.7717842323651,0.05333742703081068,0.04433076864118113
"Boston, MA",MA,place,"Sharon, MA",550000.0,360.0717476936719,0.007876161325384823,0.04588051258998305
"Camden, NJ",NJ,place,"National Park, NJ",180000.0,82.78145695364239,0.02292091963206322,-0.029517343129452756
"Chicago, IL",IL,place,"Elmhurst, IL",540283.0,279.40813798138913,0.04512118075107363,0.030615955310127063
"Kingston, NY",NY,place,"Lincoln Park, NY",255000.0,202.39596469104663,0.052754323496474465,0.07726740332379212
"Santa Rosa, CA",CA,place,"Guerneville, CA",380000.0,529.9401197604791,0.035535233867419525,0.06969599003079185
"Toledo, OH",OH,place,"Oregon, OH",219000.0,130.14264716175543,0.06845389833232018,0.0612267177550454
"New Brunswick, NJ",NJ,place,"Carteret, NJ",425000.0,262.3982537954638,0.07831774514388412,0.07108265357722332
"Montgomery County, PA",PA,place,"Gilbertsville, PA",365000.0,200.89285714285717,0.013276247706189181,0.05212802144242046
"Rochester, NY",NY,place,"Geneseo, NY",333000.0,223.79032258064515,0.10383015668522355,0.13786572177554635
"Cincinnati, OH",OH,place,"Carlisle, OH",307495.0,159.08985704560928,0.13654646196803522,0.109729603879273
"Merced, CA",CA,place,"Gustine, CA",307500.0,275.8143529711159,0.07807186402673949,0.1181573632768751
"Washington, DC",MD,place,"Forestville, MD",396000.0,255.6128089243329,0.07719919479560722,0.04118098364055034
"Malvern, AR",AR,place,"Malvern, AR",173000.0,106.48148148148148,0.09950480097503545,0.09242054923265974
"Washington, DC",VA,place,"Huntington, VA",737500.0,316.27265613783743,0.07231265476018978,0.02308475364238216
"Sherman, TX",TX,place,"Collinsville, TX",165000.0,143.35360556038228,0.0006080894190916286,0.07059431440286623
"Lake County, IL",IL,place,"Lake Forest, IL",1305000.0,336.64068036853297,0.0569511724151297,0.03936919439820019
"Fremont, OH",OH,place,"Helena, OH",177000.0,127.89017341040464,0.022999485686957755,0.07230611335473736
"Flint, MI",MI,place,"Otisville, MI",137000.0,127.79850746268656,0.11776576874009903,0.09838748962862298
"Topeka, KS",KS,place,"Rossville, KS",30000.0,37.267080745341616,-0.09664870304656381,-0.029609705329148084
"Worcester, MA",MA,place,"Athol, MA",257000.0,180.155999018383,0.1106291332316327,0.08340557563121953
"Worcester, MA",MA,place,"Athol, MA",272000.0,186.29807692307693,0.11694718894059841,0.08704376821896798
"Minneapolis, MN",MN,place,"Lake St. Croix Beach, MN",222000.0,189.4865525672372,0.051075958484291695,0.023263411434140124
"Grand Rapids, MI",MI,place,"Lowell, MI",265000.0,242.67399267399267,0.0895035292835904,0.11098796574086434
"Kahului, HI",HI,place,"Makawao, HI",750000.0,948.2758620689655,0.06689618020131638,0.1212445022743176
"Staunton, VA",VA,place,"Lyndhurst, VA",157250.0,109.13849578829348,0.038767178588341666,0.003793810214136828
"Jonesboro, AR",AR,place,"Lake City, AR",135000.0,98.85260370697264,0.1662551567791155,0.19116114832931785
"Fresno, CA",CA,place,"Sanger, CA",377500.0,237.86570227818524,0.08465148318988835,0.0965435250651876
"Barnstable Town, MA",MA,place,"East Dennis, MA",731000.0,451.50931278098903,0.012281522557853197,0.03639913805161843
"Salem, OH",OH,place,"East Palestine, OH",265000.0,132.39757207890744,0.11911506557268714,0.10907581486466178
"Sacramento, CA",CA,place,"Fair Oaks, CA",610000.0,288.80187539567123,0.05415077752852393,0.047648862341588716
"Albertville, AL",AL,place,"Grant, AL",375000.0,150.96618357487924,0.014381444326736048,0.020185810717733066
"Camden, NJ",NJ,place,"Gibbsboro, NJ",328500.0,193.3775284476169,0.11163715036704125,0.07366362559142203
"Gardnerville Ranchos, NV",NV,place,"Johnson Lane, NV",750000.0,366.01618277010954,0.10880455203196737,0.08639751338077595
"New Brunswick, NJ",NJ,place,"Leisure Village, NJ",167500.0,153.19352268057924,0.08734579795229713,0.09769909769637608
"Philadelphia, PA",PA,place,"Media, PA",751000.0,280.2690582959641,0.06435720705117132,0.03799101320954068
"Montgomery County, PA",PA,place,"Telford, PA",330000.0,289.9527983816588,0.04032064486673703,0.0672745835554005
"Nassau County, NY",NY,place,"New Cassel, NY",580000.0,360.2015113350126,0.07945967439147883,0.05723977279267811
"Montgomery County, PA",PA,place,"Royersford, PA",307500.0,219.61723431094293,0.019901836411951423,0.058595851902515594
"Hinesville, GA",GA,place,"Ludowici, GA",339000.0,123.32578397212544,0.07285436911089604,0.030642328902358296
"Staunton, VA",VA,place,"Verona, VA",260000.0,176.27118644067798,0.0932297217228284,0.0882069931221523
"Rolla, MO",MO,place,"Rolla, MO",182000.0,126.48809523809524,0.07836705698870361,0.07590155693214506
"Waterloo, IA",IA,place,"Reinbeck, IA",150000.0,124.37810945273633,0.16103720247031927,0.14615140618495492
"York, PA",PA,place,"Lewisberry, PA",465000.0,203.92097406232503,0.14767572732087753,0.128106791855231
"Fort Collins, CO",CO,place,"Campion, CO",526969.0,250.4461076871572,0.11124316263906198,0.07215909397675291
"Providence, RI",RI,place,"Hopkinton, RI",601000.0,302.3138832997988,0.09058949219831347,0.07301658948492928
"Keene, NH",NH,place,"Jaffrey, NH",460500.0,159.4529085872576,0.21618105341754723,0.10039183668785467
"Morehead City, NC",NC,place,"Morehead City, NC",488000.0,293.49203565669814,0.047437563541373295,0.09056507421195459
"Louisville, KY",KY,place,"Goshen, KY",454950.0,183.00065419234832,0.16369674115921296,0.06502818698022028
"San Jose, CA",CA,place,"Milpitas, CA",1530000.0,935.3224309702498,0.07680448823674668,0.0836586080466406
"Harrisburg, PA",PA,place,"Duncannon, PA",222500.0,78.54511696254815,0.04741839778075474,-0.02612579184237096
"Orlando, FL",FL,place,"Fairview Shores, FL",391750.0,302.6717530945882,0.1093730244038118,0.11308007943905451
"Chicago, IL",IL,place,"Woodridge, IL",422500.0,223.43921139101863,0.06816299210715049,0.051448601072424216
"Providence, RI",RI,place,"Burrillville, RI",439000.0,242.09613958696335,0.08735433925129676,0.09980527079598445
"Boston, MA",MA,place,"Plymouth, MA",764867.5,354.2363532414826,0.07761536772237743,0.05628884713278759
