total_population,median_home_value,median_gross_rent,state,zip_code
15466,147900,44721,25,01247
769,284300,85417,25,01253
902,445200,91484,25,01254
891,265700,71023,25,01255
680,172600,58125,25,01256
2017,327000,100909,25,01257
488,443500,67500,25,01258
540,367900,68438,25,01259
427,630400,118508,25,01260
1005,510900,29659,25,01262
206,366700,71250,25,01264
1295,386800,73906,25,01266
7753,320800,83939,25,01267
796,279800,85417,25,01270
17617,195400,50889,25,01301
1276,279300,70761,25,01330
13486,165400,57987,25,01331
2532,246500,66771,25,01337
113,234700,60347,25,01338
1371,234700,64813,25,01339
1779,217700,62500,25,01340
1929,320700,96563,25,01341
1259,276100,85341,25,01342
78,242500,71625,25,01343
1380,203900,62727,25,01344
471,249100,69375,25,01346
154,117700,53846,25,01347
1391,191800,65536,25,01349
87,111400,28750,25,01350
2114,263200,81042,25,01351
1596,248300,67917,25,01354
931,248000,65875,25,01355
2981,226700,75875,25,01360
7729,163800,50890,25,01364
1188,287400,71484,25,01366
639,211800,63750,25,01367
1377,241900,76250,25,01368
3852,267100,62966,25,01370
4854,306700,78382,25,01373
3647,299800,55625,25,01375
5013,199300,40913,25,01376
792,228600,59375,25,01378
829,213400,53750,25,01379
40702,196600,57207,25,01420
6297,265000,95037,25,01430
3220,267900,97958,25,01431
7699,327000,94375,25,01432
1969,330000,92426,25,01434
3374,180800,73169,25,01436
694,171900,119808,25,01438
20610,185700,49679,25,01440
11313,473000,129085,25,01450
4731,597300,162619,25,01451
4708,281700,91734,25,01452
41647,242000,61887,25,01453
10071,459000,123413,25,01460
11402,308800,103228,25,01462
12105,343400,104130,25,01463
7633,314200,76875,25,01464
276,376100,-666666666,25,01467
4062,203800,73246,25,01468
7670,287400,91964,25,01469
7766,287300,100972,25,01473
1803,309500,90302,25,01474
10825,206100,80267,25,01475
16619,264400,85432,25,01501
3182,422600,99297,25,01503
9263,291100,95375,25,01504
4623,385900,97591,25,01505
3441,218900,70338,25,01506
13550,297700,101111,25,01507
13935,248200,67634,25,01510
2040,249200,82946,25,01515
8859,320600,99943,25,01516
3947,339100,72470,25,01518
7042,363100,109670,25,01519
15781,324300,109529,25,01520
2630,250600,82179,25,01521
3270,296400,108036,25,01522
7794,364300,93385,25,01523
6654,262000,81042,25,01524
544,277100,40947,25,01525
13732,290300,85781,25,01527
3256,307500,79129,25,01529
1211,295300,91125,25,01531
15056,447100,128613,25,01532
6296,350800,102284,25,01534
4774,244400,78750,25,01535
7576,349100,109329,25,01536
2201,222700,64975,25,01537
11581,263800,77184,25,01540
3455,373600,136083,25,01541
2567,275300,106250,25,01542
8685,295500,107928,25,01543
37086,416000,105014,25,01545
16887,198400,51270,25,01550
4396,363200,88750,25,01560
209,-666666666,-666666666,25,01561
11928,255900,72821,25,01562
8091,360000,121458,25,01564
5592,268300,86731,25,01566
7894,486300,128796,25,01568
14025,315400,107740,25,01569
16973,233500,62281,25,01570
11723,263900,69071,25,01571
19037,458100,112153,25,01581
7693,298000,90688,25,01583
4569,253000,63182,25,01585
9750,284900,76250,25,01588
9404,351900,104710,25,01590
22900,237100,64942,25,01602
19731,194800,42904,25,01603
38191,227800,55665,25,01604
28533,216800,40390,25,01605
